Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,1476.819946,1490.000000,1471.219971,1479.089966,1479.089966,1457500
2020-08-06,1476.150024,1506.270020,1471.900024,1504.949951,1504.949951,1665300
2020-08-07,1509.040039,1520.089966,1486.270020,1498.369995,1498.369995,1385900
2020-08-10,1490.800049,1507.150024,1477.489990,1496.819946,1496.819946,1027300
2020-08-11,1494.000000,1510.439941,1478.189941,1480.540039,1480.540039,1554900
2020-08-12,1487.119995,1511.670044,1485.000000,1507.239990,1507.239990,1126600
2020-08-13,1508.209961,1536.969971,1508.209961,1516.650024,1516.650024,1119400
2020-08-14,1513.609985,1519.790039,1499.000000,1504.630005,1504.630005,1097100
2020-08-17,1515.969971,1523.780029,1505.000000,1516.239990,1516.239990,999500
2020-08-18,1526.119995,1557.369995,1521.670044,1555.780029,1555.780029,1418900
2020-08-19,1552.489990,1568.859985,1540.000000,1544.609985,1544.609985,1523600
2020-08-20,1539.969971,1580.170044,1534.459961,1576.250000,1576.250000,1319100
2020-08-21,1571.800049,1591.880005,1562.310059,1575.569946,1575.569946,1741900
2020-08-24,1592.469971,1608.780029,1575.040039,1585.150024,1585.150024,1281900
2020-08-25,1580.099976,1608.880005,1577.880005,1605.849976,1605.849976,1257500
2020-08-26,1606.300049,1652.790039,1600.979980,1644.130005,1644.130005,2609400
2020-08-27,1646.609985,1647.989990,1618.810059,1628.520020,1628.520020,1567500
2020-08-28,1629.469971,1641.349976,1625.609985,1639.430054,1639.430054,1120900
2020-08-31,1643.569946,1644.500000,1625.329956,1629.530029,1629.530029,1321100
2020-09-01,1632.160034,1659.219971,1629.530029,1655.079956,1655.079956,1133800
2020-09-02,1668.010010,1726.099976,1660.189941,1717.390015,1717.390015,2476100
2020-09-03,1699.520020,1700.000000,1607.709961,1629.510010,1629.510010,3180200
2020-09-04,1609.000000,1634.989990,1537.970093,1581.209961,1581.209961,2792533
