Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05,1078.989990,1105.000000,1070.109985,1094.650024,1094.650024,1551600
2020-08-06,1093.300049,1099.709961,1068.756958,1088.130005,1088.130005,1287200
2020-08-07,1080.000000,1092.869995,1030.271973,1053.119995,1053.119995,1631200
2020-08-10,1055.000000,1064.000000,987.409973,1005.559998,1005.559998,2405200
2020-08-11,999.590027,1015.000000,964.739990,971.989990,971.989990,2270900
2020-08-12,983.929993,1007.859985,980.000000,991.000000,991.000000,1706400
2020-08-13,1005.000000,1023.974976,987.000000,999.900024,999.900024,1401800
2020-08-14,1002.299988,1007.000000,978.500000,987.900024,987.900024,1599100
2020-08-17,999.000000,1019.640015,995.513977,1012.960022,1012.960022,1269100
2020-08-18,1021.000000,1026.979980,993.169983,1024.709961,1024.709961,1287600
2020-08-19,1021.989990,1042.959961,1003.000000,1009.109985,1009.109985,1232200
2020-08-20,1004.099976,1043.599976,999.189026,1039.619995,1039.619995,1332400
2020-08-21,1036.020020,1046.979980,1015.000000,1021.119995,1021.119995,1287400
2020-08-24,1032.000000,1033.831055,988.880005,999.320007,999.320007,1820700
2020-08-25,991.000000,1038.800049,991.000000,1037.189941,1037.189941,1691900
2020-08-26,1049.000000,1115.989990,1046.209961,1089.329956,1089.329956,2806800
2020-08-27,1081.770020,1089.329956,1049.329956,1053.500000,1053.500000,1553700
2020-08-28,1067.050049,1079.020020,1039.449951,1042.060059,1042.060059,1339000
2020-08-31,1048.510010,1073.920044,1035.000000,1066.420044,1066.420044,1126400
2020-09-01,1075.000000,1146.910034,1073.939941,1134.319946,1134.319946,2087200
2020-09-02,1142.000000,1145.000000,1062.500000,1074.589966,1074.589966,2706500
2020-09-03,1044.359985,1058.699951,993.859985,1015.700012,1015.700012,2918800
2020-09-04,996.190002,1018.979980,896.479980,973.020020,973.020020,3461003
